dataset,budget,model,rank,balanced_accuracy,total_time
ilpd,3,CatBoost,6,0.4865343727852587,0.09500455856323242
ilpd,10,HyperFast,1,0.6743444365698086,4.424272060394287
ilpd,10,KNN,2,0.5646704464918497,0.01905655860900879
ilpd,10,LogReg,3,0.5400425230333097,0.19276070594787598
ilpd,10,XGBoost,4,0.52462792345854,0.10073137283325195
ilpd,10,LightGBM,5,0.517363571934798,0.06515765190124512
ilpd,10,CatBoost,6,0.5132884479092842,0.18951082229614258
ilpd,30,HyperFast,1,0.6743444365698086,8.819928169250488
ilpd,30,KNN,2,0.5646704464918497,0.01813030242919922
ilpd,30,LogReg,3,0.5400425230333097,0.18212628364562988
ilpd,30,CatBoost,4,0.533309709425939,0.5990772247314453
ilpd,30,XGBoost,5,0.52462792345854,0.11117124557495117
ilpd,30,LightGBM,6,0.517363571934798,0.06533241271972656
ilpd,60,CatBoost,1,0.5653791637136782,1.1268894672393799
ilpd,60,KNN,2,0.5646704464918497,0.01825094223022461
ilpd,60,HyperFast,3,0.5499645641389086,45.72075963020325
ilpd,60,LogReg,4,0.5400425230333097,0.19204115867614746
ilpd,60,XGBoost,5,0.52462792345854,0.1012885570526123
ilpd,60,LightGBM,6,0.517363571934798,0.0640406608581543
kc2,1,HyperFast,1,0.6790799561883899,0.9056806564331055
kc2,1,LogReg,2,0.651697699890471,0.1930408477783203
kc2,1,XGBoost,3,0.622946330777656,0.010209798812866211
kc2,1,CatBoost,4,0.6169222343921139,0.079071044921875
kc2,1,KNN,5,0.6048740416210295,0.699758768081665
kc2,1,LightGBM,6,0.5848849945235487,0.007130861282348633
kc2,3,HyperFast,1,0.6790799561883899,2.2441697120666504
kc2,3,LogReg,2,0.651697699890471,0.18275737762451172
kc2,3,LightGBM,3,0.651697699890471,0.013878345489501953
kc2,3,CatBoost,4,0.6456736035049289,0.10970449447631836
kc2,3,KNN,5,0.6048740416210295,0.0033452510833740234
kc2,3,XGBoost,6,0.588170865279299,0.02130413055419922
kc2,10,HyperFast,1,0.6790799561883899,4.266858339309692
kc2,10,LogReg,2,0.651697699890471,0.011434316635131836
kc2,10,XGBoost,3,0.6456736035049289,0.14038443565368652
kc2,10,CatBoost,4,0.6169222343921139,0.3387413024902344
kc2,10,KNN,5,0.6048740416210295,0.003932952880859375
kc2,10,LightGBM,6,0.5501095290251916,0.09781622886657715
kc2,30,HyperFast,1,0.6563526834611172,9.35886812210083
kc2,30,LogReg,2,0.651697699890471,0.011774539947509766
kc2,30,XGBoost,3,0.6456736035049289,0.14274287223815918
kc2,30,CatBoost,4,0.622946330777656,0.6136391162872314
kc2,30,KNN,5,0.6048740416210295,0.004796028137207031
kc2,30,LightGBM,6,0.5501095290251916,0.09396123886108398
kc2,60,HyperFast,1,0.6623767798466593,53.149574518203735
kc2,60,LogReg,2,0.651697699890471,0.011232137680053711
kc2,60,XGBoost,3,0.6456736035049289,0.13162755966186523
kc2,60,CatBoost,4,0.622946330777656,1.3098797798156738
kc2,60,KNN,5,0.6048740416210295,0.0031120777130126953
kc2,60,LightGBM,6,0.5501095290251916,0.08608627319335938
